Type, Run, Ratio, Test1, Test2
3200x1800, 14, 21:9, 32.23, 30.29
3200x1800, 14, 9:16, 32.73, 30.30
3200x1800, 15, 4:3, 30.58, 29.25
3200x1800, 15, 5:4, 30.87, 29.51
3200x1800, 15, 16:10, 31.63, 30.02
3200x1800, 15, 16:9, 31.06, 29.75
3200x1800, 15, 21:9, 32.28, 29.99
3200x1800, 15, 9:16, 32.30, 30.08
3200x1800, 2, 4:3, 31.56, 30.03
3200x1800, 2, 5:4, 30.83, 29.44
3200x1800, 2, 16:10, 31.52, 29.98
3200x1800, 2, 16:9, 31.86, 30.55
3200x1800, 2, 21:9, 33.05, 30.65
3200x1800, 2, 9:16, 33.14, 30.89
3200x1800, 3, 4:3, 31.17, 29.62
3200x1800, 3, 5:4, 30.77, 29.48
3200x1800, 3, 16:10, 31.39, 29.97
3200x1800, 3, 16:9, 31.54, 30.17
3200x1800, 3, 21:9, 32.56, 30.46
3200x1800, 3, 9:16, 32.98, 30.55
3200x1800, 4, 4:3, 30.99, 29.52
3200x1800, 4, 5:4, 30.73, 29.48
3200x1800, 4, 16:10, 31.63, 30.01
3200x1800, 4, 16:9, 31.30, 29.99
3200x1800, 4, 21:9, 32.67, 30.44
3200x1800, 4, 9:16, 32.65, 30.37
3200x1800, 5, 4:3, 30.89, 29.49
3200x1800, 5, 5:4, 30.92, 29.51
3200x1800, 5, 16:10, 31.63, 30.03
3200x1800, 5, 16:9, 31.36, 29.91
3200x1800, 5, 21:9, 32.62, 30.41
3200x1800, 5, 9:16, 32.76, 30.38
3200x1800, 6, 4:3, 30.87, 29.43
3200x1800, 6, 5:4, 30.82, 29.47
3200x1800, 6, 16:10, 31.34, 29.99
3200x1800, 6, 16:9, 31.31, 29.92
3200x1800, 6, 21:9, 32.56, 30.37
3200x1800, 6, 9:16, 32.69, 30.37
3200x1800, 7, 4:3, 30.84, 29.44
3200x1800, 7, 5:4, 30.66, 29.46
3200x1800, 7, 16:10, 31.23, 30.00
3200x1800, 7, 16:9, 31.26, 29.90
3200x1800, 7, 21:9, 32.33, 30.35
3200x1800, 7, 9:16, 32.71, 30.33
3200x1800, 8, 4:3, 30.81, 29.43
3200x1800, 8, 5:4, 30.81, 29.49
3200x1800, 8, 16:10, 31.33, 29.93
3200x1800, 8, 16:9, 31.03, 29.91
3200x1800, 8, 21:9, 32.23, 30.32
3200x1800, 8, 9:16, 32.60, 30.32
3200x1800, 9, 4:3, 30.81, 29.47
3200x1800, 9, 5:4, 30.89, 29.42
3200x1800, 9, 16:10, 31.52, 29.92
3200x1800, 9, 16:9, 31.02, 29.89
3200x1800, 9, 21:9, 32.52, 30.42
3200x1800, 9, 9:16, 32.64, 30.30
3840x2160, 1, 4:3, 21.52, 21.26
3840x2160, 1, 5:4, 22.24, 21.61
3840x2160, 1, 16:10, 22.29, 21.43
3840x2160, 1, 16:9, 21.56, 21.09
3840x2160, 1, 21:9, 23.06, 21.99
3840x2160, 1, 9:16, 23.33, 21.62
3840x2160, 10, 4:3, 21.87, 21.37
3840x2160, 10, 5:4, 22.35, 21.65
3840x2160, 10, 16:10, 22.30, 21.51
3840x2160, 10, 16:9, 21.66, 21.21
3840x2160, 10, 21:9, 23.20, 22.08
3840x2160, 10, 9:16, 23.42, 21.68
3840x2160, 11, 4:3, 21.68, 21.34
3840x2160, 11, 5:4, 22.38, 21.69
3840x2160, 11, 16:10, 22.23, 21.53
3840x2160, 11, 16:9, 21.84, 21.21
3840x2160, 11, 21:9, 23.06, 22.05
3840x2160, 11, 9:16, 23.29, 21.66
3840x2160, 12, 4:3, 21.71, 21.35
3840x2160, 12, 5:4, 22.38, 21.66
3840x2160, 12, 16:10, 22.35, 21.46
3840x2160, 12, 16:9, 21.66, 21.21
3840x2160, 12, 21:9, 23.24, 22.04
3840x2160, 12, 9:16, 23.39, 21.68
3840x2160, 13, 4:3, 21.81, 21.37
3840x2160, 13, 5:4, 22.41, 21.67
3840x2160, 13, 16:10, 22.37, 21.52
